"","sentimento","term","count"
"187","text52","vai",1
"188","text53","vai",1
"189","text54","vai",1
"190","text58","vai",1
"191","text80","vai",1
"192","text82","vai",1
"193","text114","vai",1
"194","text3","sair",1
"195","text10","sair",1
"196","text63","sair",1
"197","text70","sair",1
"198","text73","sair",1
"199","text111","sair",1
"200","text157","sair",1
"201","text3","bom",1
"202","text41","bom",2
"203","text138","bom",1
"204","text3","dia",1
"205","text10","dia",1
"206","text18","dia",1
"207","text22","dia",1
"208","text30","dia",1
"209","text43","dia",1
"210","text88","dia",1
"211","text138","dia",1
"212","text157","dia",1
"213","text3","bons",1
"214","text3","resultados",1
"215","text3","boa",1
"216","text14","boa",1
"217","text30","boa",2
"218","text41","boa",1
"219","text60","boa",1
"220","text68","boa",1
"221","text73","boa",1
"222","text96","boa",1
"223","text3","estadia",1
"224","text3","ai",1
"225","text14","ai",2
"226","text16","ai",1
"227","text3","ásia",1
"228","text3","pro",1
"229","text3","senhor",1
"230","text9","senhor",3
"231","text10","senhor",2
"232","text15","senhor",1
"233","text20","senhor",1
"234","text21","senhor",1
"235","text22","senhor",1
"236","text27","senhor",1
"237","text29","senhor",1
"238","text31","senhor",1
"239","text37","senhor",2
"240","text39","senhor",2
"241","text43","senhor",1
"242","text51","senhor",4
"243","text52","senhor",1
"244","text53","senhor",1
"245","text55","senhor",4
"246","text56","senhor",2
"247","text60","senhor",2
"248","text63","senhor",2
"249","text72","senhor",1
"250","text74","senhor",1
"251","text75","senhor",4
"252","text76","senhor",1
"253","text80","senhor",1
"254","text81","senhor",1
"255","text85","senhor",2
"256","text87","senhor",2
"257","text91","senhor",1
"258","text93","senhor",3
"259","text96","senhor",2
"260","text98","senhor",4
"261","text99","senhor",4
"262","text153","senhor",4
"263","text157","senhor",2
"264","text186","senhor",4
"265","text4","decifit",1
"266","text4","estado",1
"267","text9","estado",1
"268","text10","estado",3
"269","text11","estado",1
"270","text17","estado",2
"271","text19","estado",1
"272","text20","estado",1
"273","text29","estado",1
"274","text39","estado",2
"275","text43","estado",2
"276","text46","estado",1
"277","text51","estado",2
"278","text52","estado",1
"279","text55","estado",2
"280","text68","estado",1
"281","text75","estado",2
"282","text76","estado",1
"283","text80","estado",1
"284","text81","estado",1
"285","text93","estado",1
"286","text94","estado",2
"287","text95","estado",1
"288","text97","estado",2
"289","text98","estado",2
"290","text99","estado",2
"291","text153","estado",2
"292","text156","estado",1
"293","text157","estado",3
"294","text180","estado",1
"295","text186","estado",2
"296","text4","aproximadamente",1
"297","text4","sete",1
"298","text4","mil",1
"299","text10","mil",1
"300","text30","mil",1
"301","text37","mil",3
"302","text39","mil",3
"303","text42","mil",2
"304","text47","mil",2
"305","text96","mil",1
"306","text130","mil",1
"307","text157","mil",1
"308","text180","mil",3
"309","text4","disponibilizaram",1
"310","text4","apenas",1
"311","text22","apenas",1
"312","text33","apenas",1
"313","text47","apenas",1
"314","text49","apenas",1
"315","text70","apenas",1
"316","text74","apenas",1
"317","text180","apenas",1
"318","text4","vagas",1
"319","text10","vagas",1
"320","text13","vagas",1
"321","text14","vagas",2
"322","text15","vagas",1
"323","text16","vagas",2
"324","text17","vagas",5
"325","text18","vagas",2
"326","text19","vagas",1
"327","text21","vagas",1
"328","text22","vagas",2
"329","text24","vagas",2
"330","text25","vagas",1
"331","text27","vagas",1
"332","text28","vagas",2
"333","text30","vagas",1
"334","text31","vagas",2
"335","text33","vagas",2
"336","text34","vagas",2
"337","text37","vagas",3
"338","text39","vagas",2
"339","text40","vagas",1
"340","text42","vagas",2
"341","text44","vagas",2
"342","text49","vagas",1
"343","text50","vagas",1
"344","text52","vagas",2
"345","text53","vagas",2
"346","text57","vagas",1
"347","text60","vagas",1
"348","text61","vagas",1
"349","text62","vagas",3
"350","text63","vagas",2
"351","text64","vagas",1
"352","text65","vagas",1
"353","text68","vagas",1
"354","text69","vagas",1
"355","text70","vagas",2
"356","text74","vagas",1
"357","text80","vagas",2
"358","text84","vagas",1
"359","text85","vagas",1
"360","text91","vagas",2
"361","text94","vagas",5
"362","text96","vagas",1
"363","text97","vagas",5
"364","text114","vagas",1
"365","text127","vagas",1
"366","text137","vagas",1
"367","text146","vagas",1
"368","text156","vagas",1
"369","text157","vagas",1
"370","text180","vagas",2
"371","text184","vagas",1
"372","text4","salvador",1
"373","text28","salvador",1
"374","text38","salvador",1
"375","text42","salvador",1
"376","text44","salvador",1
"377","text51","salvador",1
"378","text55","salvador",1
"379","text66","salvador",4
"380","text75","salvador",1
"381","text98","salvador",1
"382","text99","salvador",1
"383","text136","salvador",1
"384","text153","salvador",1
"385","text186","salvador",1
"386","text4","vergonha",1
"387","text5","vergonha",2
"388","text12","vergonha",2
"389","text42","vergonha",1
"390","text69","vergonha",1
"391","text143","vergonha",1
"392","text5","tá",1
"393","text12","tá",1
"394","text30","tá",1
"395","text53","tá",1
"396","text5","kiev",3
"397","text5","né",1
"398","text53","né",1
"399","text5","povo",1
"400","text10","povo",1
"401","text14","povo",1
"402","text29","povo",1
"403","text35","povo",1
"404","text39","povo",1
"405","text48","povo",1
"406","text53","povo",2
"407","text60","povo",1
"408","text67","povo",1
"409","text157","povo",1
"410","text5","aq",1
"411","text5","clamando",1
"412","text35","clamando",1
"413","text5","receber",1
"414","text25","receber",1
"415","text5","precatórias",1
"416","text5","direito",1
"417","text12","direito",1
"418","text19","direito",1
"419","text20","direito",1
"420","text21","direito",1
"421","text24","direito",1
"422","text52","direito",1
"423","text80","direito",1
"424","text87","direito",1
"425","text156","direito",1
"426","text5","idosos",1
"427","text5","passando",1
"428","text30","passando",1
"429","text5","fome",1
"430","text5","prioridades",1
"431","text5","anos",1
"432","text15","anos",1
"433","text19","anos",1
"434","text21","anos",1
"435","text37","anos",1
"436","text45","anos",1
"437","text62","anos",1
"438","text70","anos",2
"439","text81","anos",1
"440","text156","anos",1
"441","text184","anos",2
"442","text5","dinheiro",1
"443","text53","dinheiro",1
"444","text5","comprar",1
"445","text5","remédio",1
"446","text5","familias",1
"447","text5","autorização",1
"448","text5","juizes",1
"449","text5","publicados",1
"450","text5","diário",1
"451","text90","diário",1
"452","text5","oficial",1
"453","text90","oficial",1
"454","text5","pagamento",2
"455","text5","sr.e",1
"456","text5","sra.em",1
"457","text5","núcleo",1
"458","text5","sr.mesmo",1
"459","text5","criou",1
"460","text5","bagunça",1
"461","text5","ninguém",2
"462","text5","consegue",1
"463","text66","consegue",1
"464","text5","falar",1
"465","text10","falar",1
"466","text53","falar",2
"467","text60","falar",1
"468","text157","falar",1
"469","text5","loucura",1
"470","text5","sr.em",1
"471","text5","falta",1
"472","text53","falta",1
"473","text74","falta",1
"474","text5","respeito",1
"475","text17","respeito",1
"476","text41","respeito",1
"477","text50","respeito",1
"478","text53","respeito",1
"479","text74","respeito",1
"480","text87","respeito",1
"481","text94","respeito",1
"482","text97","respeito",1
"483","text5","cidade",1
"484","text66","cidade",2
"485","text140","cidade",1
"486","text5","interior",1
"487","text10","interior",2
"488","text157","interior",2
"489","text5","bahia",1
"490","text10","bahia",1
"491","text14","bahia",1
"492","text15","bahia",1
"493","text17","bahia",2
"494","text18","bahia",3
"495","text21","bahia",1
"496","text27","bahia",1
"497","text30","bahia",5
"498","text37","bahia",1
"499","text39","bahia",3
"500","text43","bahia",2
"501","text45","bahia",1
"502","text47","bahia",1
"503","text51","bahia",2
"504","text52","bahia",1
"505","text53","bahia",2
"506","text55","bahia",2
"507","text57","bahia",1
"508","text59","bahia",1
"509","text60","bahia",1
"510","text64","bahia",1
"511","text71","bahia",1
"512","text75","bahia",1
"513","text76","bahia",2
"514","text79","bahia",1
"515","text80","bahia",1
"516","text81","bahia",1
"517","text94","bahia",2
"518","text95","bahia",2
"519","text97","bahia",2
"520","text98","bahia",1
"521","text99","bahia",1
"522","text107","bahia",1
"523","text134","bahia",1
"524","text149","bahia",1
"525","text153","bahia",1
"526","text157","bahia",1
"527","text180","bahia",2
"528","text186","bahia",1
"529","text5","diria",1
"530","text5","toma",1
"531","text5","nessa",1
"532","text18","nessa",1
"533","text83","nessa",1
"534","text5","cara",1
"535","text12","cara",1
"536","text53","cara",1
"537","text5","palavras",1
"538","text6","educação",1
"539","text32","educação",1
"540","text6","ansioso",1
"541","text6","divulgação",1
"542","text7","costa",1
"543","text8","costa",1
"544","text10","costa",1
"545","text20","costa",1
"546","text21","costa",1
"547","text28","costa",1
"548","text43","costa",1
"549","text48","costa",1
"550","text51","costa",1
"551","text57","costa",2
"552","text63","costa",1
"553","text76","costa",1
"554","text81","costa",1
"555","text88","costa",1
"556","text91","costa",1
"557","text96","costa",1
"558","text121","costa",1
"559","text124","costa",1
"560","text130","costa",1
"561","text157","costa",1
"562","text170","costa",1
"563","text171","costa",1
"564","text7","primeiro",1
"565","text7","deus",2
"566","text82","deus",1
"567","text7","continue",1
"568","text60","continue",1
"569","text7","abençoar",1
"570","text7","muita",1
"571","text14","muita",2
"572","text30","muita",2
"573","text65","muita",1
"574","text91","muita",1
"575","text7","esperança",1
"576","text7","pois",2
"577","text20","pois",1
"578","text24","pois",1
"579","text29","pois",1
"580","text40","pois",1
"581","text66","pois",1
"582","text74","pois",1
"583","text82","pois",1
"584","text85","pois",1
"585","text91","pois",1
"586","text7","habilitado",1
"587","text62","habilitado",1
"588","text81","habilitado",1
"589","text7","neste",1
"590","text7","concurso",1
"591","text10","concurso",1
"592","text12","concurso",1
"593","text16","concurso",1
"594","text17","concurso",1
"595","text18","concurso",2
"596","text19","concurso",1
"597","text24","concurso",1
"598","text27","concurso",1
"599","text29","concurso",3
"600","text30","concurso",2
"601","text32","concurso",2
"602","text37","concurso",1
"603","text39","concurso",1
"604","text45","concurso",1
"605","text47","concurso",1
"606","text50","concurso",1
"607","text52","concurso",3
"608","text54","concurso",1
"609","text57","concurso",1
"610","text60","concurso",2
"611","text62","concurso",1
"612","text63","concurso",1
"613","text70","concurso",1
"614","text73","concurso",1
"615","text74","concurso",2
"616","text78","concurso",2
"617","text79","concurso",2
"618","text80","concurso",3
"619","text84","concurso",1
"620","text87","concurso",1
"621","text91","concurso",1
"622","text94","concurso",1
"623","text95","concurso",1
"624","text96","concurso",1
"625","text97","concurso",1
"626","text121","concurso",1
"627","text136","concurso",1
"628","text137","concurso",1
"629","text146","concurso",1
"630","text156","concurso",1
"631","text157","concurso",1
"632","text180","concurso",1
"633","text184","concurso",1
"634","text7","cbmba",1
"635","text7","embora",1
"636","text96","embora",1
"637","text7","classificação",1
"638","text7","teixeira",1
"639","text7","freitas",1
"640","text7","agradecido",1
"641","text7","politicas",1
"642","text7","inclusão",1
"643","text24","inclusão",1
"644","text7","negros",1
"645","text7","universidades",1
"646","text7","graças",1
"647","text7","quero",1
"648","text7","estar",1
"649","text27","estar",1
"650","text7","corpo",1
"651","text7","bombeiro",1
"652","text7","tbém",1
"653","text7","obrigado",1
"654","text11","obrigado",1
"655","text27","obrigado",1
"656","text149","obrigado",1
"657","text7","conosco",1
"658","text8","aí",2
"659","text13","aí",1
"660","text133","aí",1
"661","text8","galera",1
"662","text12","galera",1
"663","text16","galera",1
"664","text122","galera",1
"665","text8","todos",1
"666","text10","todos",3
"667","text13","todos",1
"668","text15","todos",2
"669","text17","todos",1
"670","text20","todos",1
"671","text21","todos",1
"672","text23","todos",1
"673","text24","todos",1
"674","text29","todos",1
"675","text34","todos",1
"676","text41","todos",3
"677","text43","todos",1
"678","text51","todos",1
"679","text53","todos",1
"680","text55","todos",1
"681","text66","todos",1
"682","text75","todos",1
"683","text76","todos",1
"684","text94","todos",1
"685","text97","todos",1
"686","text98","todos",1
"687","text99","todos",1
"688","text105","todos",1
"689","text110","todos",1
"690","text134","todos",1
"691","text153","todos",1
"692","text157","todos",3
"693","text186","todos",1
"694","text8","habilitados",2
"695","text9","habilitados",1
"696","text43","habilitados",2
"697","text51","habilitados",1
"698","text55","habilitados",1
"699","text66","habilitados",2
"700","text70","habilitados",1
"701","text75","habilitados",1
"702","text91","habilitados",2
"703","text93","habilitados",1
"704","text98","habilitados",1
"705","text99","habilitados",1
"706","text105","habilitados",1
"707","text153","habilitados",1
"708","text186","habilitados",1
"709","text8","prova",1
"710","text23","prova",1
"711","text30","prova",1
"712","text31","prova",1
"713","text39","prova",1
"714","text84","prova",1
"715","text8","ficaram",1
"716","text9","ficaram",1
"717","text28","ficaram",1
"718","text39","ficaram",1
"719","text51","ficaram",1
"720","text55","ficaram",1
"721","text75","ficaram",1
"722","text93","ficaram",1
"723","text98","ficaram",1
"724","text99","ficaram",1
"725","text153","ficaram",1
"726","text186","ficaram",1
"727","text8","dentro",1
"728","text62","dentro",1
"729","text8","limite",1
"730","text14","limite",1
"731","text8","estabelecido",1
"732","text8","demais",1
"733","text91","demais",1
"734","text8","votar",1
"735","text12","votar",1
"736","text20","votar",1
"737","text8","topa",1
"738","text8","kkk",1
"739","text9","#ruicosta",1
"740","text55","#ruicosta",1
"741","text75","#ruicosta",1
"742","text93","#ruicosta",1
"743","text98","#ruicosta",1
"744","text99","#ruicosta",1
"745","text153","#ruicosta",1
"746","text186","#ruicosta",1
"747","text9","aumente",1
"748","text18","aumente",1
"749","text26","aumente",1
"750","text48","aumente",1
"751","text51","aumente",1
"752","text55","aumente",1
"753","text70","aumente",1
"754","text75","aumente",1
"755","text93","aumente",1
"756","text98","aumente",1
"757","text99","aumente",1
"758","text153","aumente",1
"759","text186","aumente",1
"760","text9","número",1
"761","text14","número",2
"762","text15","número",2
"763","text16","número",2
"764","text18","número",1
"765","text19","número",1
"766","text22","número",1
"767","text24","número",3
"768","text25","número",3
"769","text26","número",2
"770","text27","número",1
"771","text30","número",1
"772","text33","número",1
"773","text34","número",1
"774","text40","número",1
"775","text43","número",1
"776","text44","número",1
"777","text48","número",1
"778","text49","número",2
"779","text51","número",1
"780","text53","número",2
"781","text55","número",1
"782","text57","número",2
"783","text60","número",1
"784","text61","número",1
"785","text62","número",2
"786","text63","número",1
"787","text68","número",1
"788","text70","número",2
"789","text74","número",1
"790","text75","número",1
"791","text91","número",2
"792","text93","número",1
"793","text98","número",1
"794","text99","número",1
"795","text153","número",1
"796","text156","número",1
"797","text186","número",1
"798","text9","redações",1
"799","text15","redações",1
"800","text16","redações",1
"801","text24","redações",2
"802","text25","redações",1
"803","text26","redações",2
"804","text30","redações",1
"805","text31","redações",1
"806","text33","redações",1
"807","text43","redações",1
"808","text48","redações",1
"809","text49","redações",1
"810","text51","redações",1
"811","text55","redações",1
"812","text70","redações",1
"813","text72","redações",2
"814","text75","redações",1
"815","text87","redações",1
"816","text91","redações",1
"817","text93","redações",1
"818","text98","redações",1
"819","text99","redações",1
"820","text153","redações",1
"821","text186","redações",1
"822","text9","serem",1
"823","text10","serem",1
"824","text15","serem",1
"825","text16","serem",1
"826","text24","serem",1
"827","text26","serem",1
"828","text48","serem",1
"829","text51","serem",1
"830","text55","serem",1
"831","text75","serem",1
"832","text93","serem",1
"833","text98","serem",1
"834","text99","serem",1
"835","text153","serem",1
"836","text157","serem",1
"837","text186","serem",1
"838","text9","corrigida",1
"839","text14","corrigida",1
"840","text16","corrigida",1
"841","text26","corrigida",1
"842","text29","corrigida",1
"843","text30","corrigida",1
"844","text74","corrigida",1
"845","text93","corrigida",1
"846","text9","banca",1
"847","text43","banca",1
"848","text51","banca",1
"849","text55","banca",1
"850","text73","banca",1
"851","text75","banca",1
"852","text93","banca",1
"853","text98","banca",1
"854","text99","banca",1
"855","text153","banca",1
"856","text186","banca",1
"857","text9","diga",1
"858","text93","diga",1
"859","text9","exemplo",1
"860","text51","exemplo",1
"861","text55","exemplo",1
"862","text75","exemplo",1
"863","text93","exemplo",1
"864","text98","exemplo",1
"865","text99","exemplo",1
"866","text153","exemplo",1
"867","text186","exemplo",1
"868","text9","grande",1
"869","text18","grande",1
"870","text32","grande",1
"871","text39","grande",1
"872","text50","grande",1
"873","text51","grande",1
"874","text55","grande",1
"875","text60","grande",1
"876","text75","grande",1
"877","text82","grande",1
"878","text91","grande",1
"879","text93","grande",1
"880","text96","grande",1
"881","text98","grande",1
"882","text99","grande",1
"883","text153","grande",1
"884","text186","grande",1
"885","text9","eterno",1
"886","text51","eterno",1
"887","text55","eterno",1
"888","text75","eterno",1
"889","text93","eterno",1
"890","text98","eterno",1
"891","text99","eterno",1
"892","text153","eterno",1
"893","text186","eterno",1
"894","text9","wagner",1
"895","text51","wagner",1
"896","text55","wagner",1
"897","text75","wagner",1
"898","text93","wagner",1
"899","text98","wagner",1
"900","text99","wagner",1
"901","text108","wagner",1
"902","text153","wagner",1
"903","text182","wagner",1
"904","text186","wagner",1
"905","text9","ex",1
"906","text51","ex",1
"907","text55","ex",1
"908","text75","ex",1
"909","text93","ex",1
"910","text98","ex",1
"911","text99","ex",1
"912","text140","ex",1
"913","text153","ex",1
"914","text186","ex",1
"915","text9","época",1
"916","text51","época",1
"917","text55","época",1
"918","text75","época",1
"919","text93","época",1
"920","text98","época",1
"921","text99","época",1
"922","text153","época",1
"923","text186","época",1
"924","text9","reeleição",1
"925","text51","reeleição",1
"926","text55","reeleição",1
"927","text75","reeleição",1
"928","text93","reeleição",1
"929","text98","reeleição",1
"930","text99","reeleição",1
"931","text153","reeleição",1
"932","text186","reeleição",1
"933","text9","convocou",1
"934","text51","convocou",1
"935","text55","convocou",1
"936","text75","convocou",1
"937","text93","convocou",1
"938","text98","convocou",1
"939","text99","convocou",1
"940","text153","convocou",1
"941","text186","convocou",1
"942","text9","vários",1
"943","text26","vários",1
"944","text30","vários",1
"945","text51","vários",1
"946","text52","vários",1
"947","text53","vários",2
"948","text55","vários",1
"949","text75","vários",1
"950","text80","vários",1
"951","text93","vários",1
"952","text98","vários",1
"953","text99","vários",1
"954","text153","vários",1
"955","text186","vários",1
"956","text9","polícias",1
"957","text18","polícias",1
"958","text39","polícias",2
"959","text51","polícias",1
"960","text55","polícias",1
"961","text75","polícias",1
"962","text93","polícias",1
"963","text98","polícias",1
"964","text99","polícias",1
"965","text153","polícias",1
"966","text186","polícias",1
"967","text9","sabemos",1
"968","text10","sabemos",1
"969","text27","sabemos",1
"970","text39","sabemos",2
"971","text51","sabemos",1
"972","text55","sabemos",1
"973","text75","sabemos",1
"974","text93","sabemos",1
"975","text98","sabemos",1
"976","text99","sabemos",1
"977","text153","sabemos",1
"978","text157","sabemos",1
"979","text186","sabemos",1
"980","text9","dificuldades",1
"981","text51","dificuldades",1
"982","text55","dificuldades",1
"983","text75","dificuldades",1
"984","text93","dificuldades",1
"985","text98","dificuldades",1
"986","text99","dificuldades",1
"987","text153","dificuldades",1
"988","text186","dificuldades",1
"989","text9","enfrentadas",1
"990","text51","enfrentadas",1
"991","text55","enfrentadas",1
"992","text75","enfrentadas",1
"993","text93","enfrentadas",1
"994","text98","enfrentadas",1
"995","text99","enfrentadas",1
"996","text153","enfrentadas",1
"997","text186","enfrentadas",1
"998","text9","brasil",2
"999","text15","brasil",1
"1000","text51","brasil",1
"1001","text55","brasil",1
"1002","text75","brasil",1
"1003","text84","brasil",1
"1004","text93","brasil",2
"1005","text98","brasil",1
"1006","text99","brasil",1
"1007","text153","brasil",1
"1008","text186","brasil",1
"1009","text9","porém",1
"1010","text24","porém",1
"1011","text25","porém",1
"1012","text26","porém",1
"1013","text29","porém",1
"1014","text51","porém",1
"1015","text55","porém",1
"1016","text63","porém",1
"1017","text75","porém",1
"1018","text93","porém",1
"1019","text98","porém",1
"1020","text99","porém",1
"1021","text153","porém",1
"1022","text186","porém",1
"1023","text9","curso",1
"1024","text51","curso",1
"1025","text55","curso",1
"1026","text66","curso",1
"1027","text75","curso",1
"1028","text93","curso",1
"1029","text98","curso",1
"1030","text99","curso",1
"1031","text153","curso",1
"1032","text186","curso",1
"1033","text9","formação",1
"1034","text51","formação",1
"1035","text55","formação",1
"1036","text75","formação",1
"1037","text93","formação",1
"1038","text98","formação",1
"1039","text99","formação",1
"1040","text153","formação",1
"1041","text186","formação",1
"1042","text9","tornarão",1
"1043","text51","tornarão",1
"1044","text55","tornarão",1
"1045","text75","tornarão",1
"1046","text93","tornarão",1
"1047","text98","tornarão",1
"1048","text99","tornarão",1
"1049","text153","tornarão",1
"1050","text186","tornarão",1
"1051","text9","sd",1
"1052","text93","sd",1
"1053","text9","causa",1
"1054","text26","causa",1
"1055","text51","causa",1
"1056","text55","causa",1
"1057","text75","causa",1
"1058","text93","causa",1
"1059","text98","causa",1
"1060","text99","causa",1
"1061","text153","causa",1
"1062","text186","causa",1
"1063","text9","estágio",1
"1064","text31","estágio",1
"1065","text51","estágio",1
"1066","text55","estágio",1
"1067","text75","estágio",1
"1068","text93","estágio",1
"1069","text98","estágio",1
"1070","text99","estágio",1
"1071","text153","estágio",1
"1072","text186","estágio",1
"1073","text9","probatório",1
"1074","text51","probatório",1
"1075","text55","probatório",1
"1076","text75","probatório",1
"1077","text93","probatório",1
"1078","text98","probatório",1
"1079","text99","probatório",1
"1080","text153","probatório",1
"1081","text186","probatório",1
"1082","text9","daqui",1
"1083","text51","daqui",1
"1084","text55","daqui",1
"1085","text75","daqui",1
"1086","text93","daqui",1
"1087","text98","daqui",1
"1088","text99","daqui",1
"1089","text153","daqui",1
"1090","text184","daqui",1
"1091","text186","daqui",1
"1092","text9","lá",1
"1093","text50","lá",1
"1094","text51","lá",1
"1095","text52","lá",1
"1096","text55","lá",1
"1097","text75","lá",1
"1098","text80","lá",1
"1099","text93","lá",1
"1100","text98","lá",1
"1101","text99","lá",1
"1102","text153","lá",1
"1103","text186","lá",1
"1104","text9","estará",1
"1105","text93","estará",1
"1106","text9","melhor",1
"1107","text19","melhor",1
"1108","text37","melhor",1
"1109","text63","melhor",1
"1110","text84","melhor",1
"1111","text93","melhor",1
"1112","text96","melhor",1
"1113","text156","melhor",1
"1114","text9","realize",1
"1115","text43","realize",1
"1116","text51","realize",1
"1117","text55","realize",1
"1118","text75","realize",1
"1119","text93","realize",1
"1120","text98","realize",1
"1121","text99","realize",1
"1122","text153","realize",1
"1123","text186","realize",1
"1124","text9","sonho",1
"1125","text21","sonho",1
"1126","text24","sonho",1
"1127","text43","sonho",1
"1128","text51","sonho",1
"1129","text55","sonho",1
"1130","text60","sonho",1
"1131","text75","sonho",1
"1132","text93","sonho",1
"1133","text98","sonho",1
"1134","text99","sonho",1
"1135","text146","sonho",1
"1136","text153","sonho",1
"1137","text186","sonho",1
"1138","text9","acaso",1
"1139","text51","acaso",1
"1140","text55","acaso",1
"1141","text75","acaso",1
"1142","text93","acaso",1
"1143","text98","acaso",1
"1144","text99","acaso",1
"1145","text153","acaso",1
"1146","text186","acaso",1
"1147","text9","sonhos",1
"1148","text35","sonhos",1
"1149","text39","sonhos",1
"1150","text51","sonhos",1
"1151","text55","sonhos",1
"1152","text75","sonhos",1
"1153","text93","sonhos",1
"1154","text98","sonhos",1
"1155","text99","sonhos",1
"1156","text148","sonhos",1
"1157","text153","sonhos",1
"1158","text186","sonhos",1
"1159","text9","nunca",1
"1160","text39","nunca",1
"1161","text51","nunca",1
"1162","text55","nunca",1
"1163","text71","nunca",1
"1164","text75","nunca",1
"1165","text93","nunca",1
"1166","text98","nunca",1
"1167","text99","nunca",1
"1168","text153","nunca",1
"1169","text186","nunca",1
"1170","text9","quis",1
"1171","text51","quis",1
"1172","text55","quis",1
"1173","text75","quis",1
"1174","text93","quis",1
"1175","text98","quis",1
"1176","text99","quis",1
"1177","text153","quis",1
"1178","text186","quis",1
"1179","text9","realizá-los",1
"1180","text51","realizá-los",1
"1181","text55","realizá-los",1
"1182","text75","realizá-los",1
"1183","text93","realizá-los",1
